movie_name,year
Scream ,1996
"It's the Great Pumpkin, Charlie Brown ",1966
Get Out ,2017
Beetlejuice ,1988
Halloween ,1978
Edward Scissorhands ,1990
Ghostbusters ,1984
Carrie ,2013
The Exorcist ,1973
Hocus Pocus ,1993
Child's Play ,1998
Mother! ,2017
Casper ,1995
Rocky Horror Picture Show ,1975
The Blair Witch Project ,1999
The Craft ,1996
Paranormal Activity ,2007
"Double, Double, Toil and Trouble ",1993
Practical Magic ,1998
Halloweentown ,1998
The Sixth Sense ,1999
Tim Burton's The Nightmare Before Christmas ,1993
The Witches of Eastwick ,1987
Death Becomes Her ,1992
Sleepy Hollow ,1999
Bram Stoker's Dracula ,1992
The Silence of the Lambs ,1991
