movie_name,year
IT Chapter Two,2019
Ready or Not,2019
Midsommar,2019
Halloweentown,1998
Hocus Pocus,1993
The Nightmare Before Christmas,1993
The Haunted Mansion,2003
Twitches,2005
Psycho,1960
The Shining,1980
A Nightmare on Elm Street,1984
Shaun of the Dead,2004
The Babadook,2014
It Follows ,2015
Train to Busan,2016
Happy Death Day ,2017
mother! ,2017
Get Out ,2017
The Endless ,2018
Annihilation ,2018
The Rocky Horror Picture Show,1975
Halloween,1978
Edward Scissorhands,1990
The Addams Family,1991
Scream,1996
A Quiet Place ,2018
Hereditary ,2018
The Silence of the Lambs,2018
The Sixth Sense,2018
The Blair Witch Project,1999
The Descent,2005
Let The Right One In,2008
The Conjuring ,2013
The Witch ,2015
Raw,2016
It Comes at Night ,2017
IT ,2017
